채용 제목,채용 링크,회사명,회사 링크,지역,경력,학력,고용형태,연봉,직무 분야,등록일,마감일
"유망스타트기업 웹서비스개발(PM) 주임,대리,과장급 구함(굿커리",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499916&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,굿커리어,https://www.saramin.co.kr/zf_user/company-info/view?csn=QWhIN0RUdWVLdFpHVUFMaWpUTHo0UT09,서울 강남구,경력 3~11년,대졸↑,정규직,정보 없음,"앱개발, 웹개발, 유지보수, 퍼블리셔, 프론트엔드",2024/11/30,2024/12/30
"중견기업 프론트엔드 개발 대리,과장급 구함(굿커리어)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499915&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,굿커리어,https://www.saramin.co.kr/zf_user/company-info/view?csn=QWhIN0RUdWVLdFpHVUFMaWpUTHo0UT09,서울 강남구,경력 5~10년,대졸↑,정규직,정보 없음,"게임개발, 데이터분석가, 백엔드/서버개발, 앱개발, 웹개발",2024/11/30,2024/12/30
"유망스타트기업 웹서비스기획(UI,UX) 대리,과장급 구함(굿커리어",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499912&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,굿커리어,https://www.saramin.co.kr/zf_user/company-info/view?csn=QWhIN0RUdWVLdFpHVUFMaWpUTHo0UT09,서울 강남구,경력 5~12년,대졸↑,정규직,정보 없음,"앱개발, 웹개발, 퍼블리셔, 웹표준·웹접근성, 컴퓨터비전",2024/11/30,2024/12/30
[초정밀금형플라스틱 설계 제조기업]액추에이터 소프트웨어 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499896&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,(주)맨토스파워,https://www.saramin.co.kr/zf_user/company-info/view?csn=WW5hU1o4NEUrZGtoWTdsN0JLelBsQT09,경기 군포시,경력3년↑,초대졸↑,정규직,정보 없음,"S/W, 알고리즘, C++, Matlab, 헤드헌팅",2024/11/30,2024/12/06
대기업 계열 IT운영관리 인프라 헬프데스크,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499869&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,비전서치,https://www.saramin.co.kr/zf_user/company-info/view?csn=MUZubFdTSGxGUFdablpEc2xPWDQvQT09,서울 강동구,경력 7~13년,초대졸↑,정규직,정보 없음,"기술지원, 앱개발, 웹개발, FAE, IT컨설팅",2024/11/30,2024/12/06
Java&백엔드/서버개발外 정규직 채용 - 신입사원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499863&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,데이원 주식회사,https://www.saramin.co.kr/zf_user/company-info/view?csn=VG5PaENra2FWSUlpaFpRdU5WOHlVZz09,서울 강남구,신입,대졸↑,정규직,"2,800 만원","백엔드/서버개발, Java, JPA, SpringBoot, SQL",2024/11/30,2024/12/30
조명 회로설계 펌웨어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499855&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,비전서치,https://www.saramin.co.kr/zf_user/company-info/view?csn=MUZubFdTSGxGUFdablpEc2xPWDQvQT09,경기 군포시,경력3년↑,초대졸↑,정규직,정보 없음,"펌웨어, 회로설계, 3D설계, LED, SMPS",2024/11/30,2024/12/06
"주차관제 SW개발, 시스템엔지니어(SE)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499847&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,비전서치,https://www.saramin.co.kr/zf_user/company-info/view?csn=MUZubFdTSGxGUFdablpEc2xPWDQvQT09,서울 영등포구,신입·경력,초대졸↑,정규직,정보 없음,"유지보수, SE(시스템엔지니어), .NET, C#, Linux",2024/11/30,2024/12/06
[C# 프로그램] 온도제어 프로그램 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49297885&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,(주)쏠라딘,https://www.saramin.co.kr/zf_user/company-info/view?csn=MjBoZXJVQjNFZXF5dzQ1MHFBaFRkdz09,서울 금천구,경력 3~8년,학력무관,정규직,정보 없음,"C#, C++, 연구원, 유지보수, 알고리즘",2024/11/30,채용시
임베디드 리눅스 SW 개발 / 코스닥 / 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49499813&location=ts&searchType=search&paid_fl=n&search_uuid=6cc9a300-6c44-433c-8354-1113f0e519d5,위더스파트너스(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=WTNQOWM3Y09vbFRkeHR0QWNnWGdTZz09,서울 서초구,경력 10~15년,대졸↑,정규직,정보 없음,"네트워크, VoIP, 임베디드리눅스, 솔루션, 임베디드",2024/11/30,2024/12/09
